FID,SCD,STR_NAME,BEZANZ,BEZLISTE,GUELTIG_AB,GIP_OBJECTID,NAMECAT,NAMECAT_NAME
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c00,05047,Veithgasse,1,3,1947-06-30,10004945,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c01,03396,Neutorgasse,1,1,1878-06-30,10003323,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c02,02674,Krottenbachstraße,1,19,1894-06-30,10002608,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c03,12722,Hauerkronenweg,1,19,2013-06-03,10466152,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c04,04380,Schützplatz,1,14,1912-12-17,10004283,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c05,02010,Höchsmannweg,1,22,1932-11-20,10001955,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c06,09401,Laurenz-Barchetti-Gasse,1,22,1986-10-09,10006758,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c07,02768,Langgasse,1,23,1973-01-05,10002702,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c08,10071,Nevillebrücke,2,5|6,1973-01-05,10007360,2068,Brücke
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c09,05452,Zieglergasse,1,7,1755-01-01,10005342,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c0a,03941,Richtergasse,1,7,1862-06-30,10003860,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c0b,01117,Europaplatz,1,15,1958-05-21,10001078,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c0c,00089,Alser Straße,2,8|9,1973-01-05,10000085,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c0d,12505,Steinweisweg,1,12,1992-10-08,10008579,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c0e,00451,Bethlengasse,1,12,1894-10-05,10000436,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c0f,00868,Universitätsring,1,1,2012-06-05,10000837,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c10,04223,Schenkenstraße,1,1,1862-06-30,10004134,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c11,01129,Färbergasse,1,1,1973-01-05,10001090,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c12,03082,Marienstiege,1,1,1755-01-01,10003011,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c13,05961,Gorskistraße,1,23,1980-05-13,10005799,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c14,04512,Siedlungsstraße,1,23,1973-01-05,10004413,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c15,12331,Ludwig-Gruber-Weg,1,19,1979-10-18,10008412,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c16,04219,Schellinggasse,1,1,1869-06-30,10004130,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c17,04732,Stock-im-Eisen-Platz,1,1,1866-06-30,10004633,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c18,02008,Hockegasse,1,18,1894-01-01,10001953,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c19,03334,Naaffgasse,1,18,1937-06-08,10003262,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c1a,03134,Max-Emanuel-Straße,1,18,1910-09-22,10003063,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c1b,04657,Stammhausstraße,1,14,1973-01-05,10004558,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_c1c,00195,Andreas-Lechner-Straße,1,14,1973-01-05,10000184,1113,Gemeindestraße
